source,target,lead_time_value,lead_time_unit,capacity_value,capacity_time_unit,unit_cost,failure_prob
SUP-01,PLT-01,2,DAY,3000,WEEK,0.40,0.01
SUP-01,PLT-02,3,DAY,2500,WEEK,0.45,0.01
SUP-02,PLT-01,3,DAY,2600,WEEK,0.42,0.01
SUP-02,PLT-03,4,DAY,2200,WEEK,0.55,0.02
SUP-03,PLT-02,5,DAY,2100,WEEK,0.60,0.02
SUP-03,PLT-04,3,WEEK,1500,WEEK,2.20,0.04
SUP-04,PLT-03,4,WEEK,1800,WEEK,2.60,0.05
SUP-04,PLT-04,3,WEEK,1600,WEEK,2.40,0.05
SUP-05,PLT-01,4,WEEK,1400,WEEK,2.80,0.06
SUP-05,PLT-04,2,WEEK,1300,WEEK,1.90,0.05
SUP-06,PLT-02,2,WEEK,1200,WEEK,1.70,0.04
SUP-06,PLT-04,2,DAY,1500,WEEK,0.50,0.02
PLT-01,DCC-01,1,DAY,900,DAY,0.30,0.01
PLT-01,DCC-02,2,DAY,700,DAY,0.35,0.01
PLT-02,DCC-01,2,DAY,700,DAY,0.35,0.01
PLT-02,DCC-03,3,DAY,600,DAY,0.45,0.02
PLT-03,DCC-02,2,DAY,650,DAY,0.38,0.02
PLT-03,DCC-03,1,DAY,600,DAY,0.30,0.01
PLT-04,DCC-01,2,WEEK,500,DAY,1.60,0.03
PLT-04,DCC-03,2,WEEK,450,DAY,1.70,0.03
DCC-01,DCR-01,2,DAY,400,DAY,0.25,0.01
DCC-01,DCR-02,2,DAY,400,DAY,0.25,0.01
DCC-01,DCR-05,4,DAY,300,DAY,0.40,0.02
DCC-02,DCR-02,3,DAY,350,DAY,0.28,0.01
DCC-02,DCR-03,1,DAY,400,DAY,0.20,0.01
DCC-02,DCR-04,3,DAY,350,DAY,0.30,0.02
DCC-03,DCR-04,2,DAY,300,DAY,0.28,0.02
DCC-03,DCR-05,1,DAY,350,DAY,0.22,0.01
DCR-01,CUS-01,1,DAY,120,DAY,0.15,0.01
DCR-01,CUS-02,1,DAY,120,DAY,0.15,0.01
DCR-01,CUS-03,1,DAY,120,DAY,0.15,0.01
DCR-01,CUS-04,2,DAY,90,DAY,0.22,0.02
DCR-01,CUS-05,2,DAY,90,DAY,0.22,0.02
DCR-01,CUS-06,1,DAY,110,DAY,0.16,0.01
DCR-01,CUS-07,2,DAY,90,DAY,0.24,0.02
DCR-01,CUS-08,3,DAY,80,DAY,0.35,0.02
DCR-02,CUS-01,3,DAY,70,DAY,0.38,0.02
DCR-02,CUS-08,1,DAY,130,DAY,0.14,0.01
DCR-02,CUS-09,1,DAY,120,DAY,0.15,0.01
DCR-02,CUS-10,2,DAY,90,DAY,0.24,0.02
DCR-02,CUS-11,1,DAY,120,DAY,0.14,0.01
DCR-02,CUS-12,1,DAY,110,DAY,0.16,0.01
DCR-02,CUS-13,1,DAY,110,DAY,0.16,0.01
DCR-02,CUS-14,2,DAY,90,DAY,0.22,0.02
DCR-03,CUS-15,1,DAY,130,DAY,0.14,0.01
DCR-03,CUS-16,2,DAY,100,DAY,0.20,0.01
DCR-03,CUS-17,1,DAY,120,DAY,0.15,0.01
DCR-03,CUS-18,2,DAY,100,DAY,0.22,0.02
DCR-03,CUS-19,2,DAY,90,DAY,0.24,0.02
DCR-03,CUS-20,1,DAY,110,DAY,0.16,0.01
DCR-04,CUS-15,3,DAY,70,DAY,0.36,0.02
DCR-04,CUS-21,1,DAY,130,DAY,0.14,0.01
DCR-04,CUS-22,1,DAY,120,DAY,0.15,0.01
DCR-04,CUS-23,2,DAY,100,DAY,0.24,0.02
DCR-04,CUS-24,2,DAY,100,DAY,0.22,0.02
DCR-04,CUS-25,3,DAY,80,DAY,0.32,0.02
DCR-04,CUS-26,2,DAY,90,DAY,0.26,0.02
DCR-05,CUS-21,3,DAY,70,DAY,0.34,0.02
DCR-05,CUS-27,1,DAY,120,DAY,0.15,0.01
DCR-05,CUS-28,1,DAY,110,DAY,0.16,0.01
DCR-05,CUS-29,2,DAY,90,DAY,0.26,0.03
DCR-05,CUS-30,2,DAY,90,DAY,0.24,0.02
DCR-05,CUS-31,1,DAY,110,DAY,0.16,0.01
DCR-05,CUS-32,2,DAY,90,DAY,0.22,0.02
