node,product,demand_value,demand_time_unit,initial_inventory,safety_stock,holding_cost_value,holding_cost_time_unit
CUS-01,WIDGET-A,210,WEEK,0,0,0,DAY
CUS-02,WIDGET-A,175,WEEK,0,0,0,DAY
CUS-03,WIDGET-A,140,WEEK,0,0,0,DAY
CUS-04,WIDGET-A,70,WEEK,0,0,0,DAY
CUS-05,WIDGET-A,63,WEEK,0,0,0,DAY
CUS-06,WIDGET-A,98,WEEK,0,0,0,DAY
CUS-07,WIDGET-A,56,WEEK,0,0,0,DAY
CUS-08,WIDGET-A,45,DAY,0,0,0,DAY
CUS-09,WIDGET-A,32,DAY,0,0,0,DAY
CUS-10,WIDGET-A,18,DAY,0,0,0,DAY
CUS-11,WIDGET-A,24,DAY,0,0,0,DAY
CUS-12,WIDGET-A,16,DAY,0,0,0,DAY
CUS-13,WIDGET-A,21,DAY,0,0,0,DAY
CUS-14,WIDGET-A,12,DAY,0,0,0,DAY
CUS-15,WIDGET-A,266,WEEK,0,0,0,DAY
CUS-16,WIDGET-A,182,WEEK,0,0,0,DAY
CUS-17,WIDGET-A,154,WEEK,0,0,0,DAY
CUS-18,WIDGET-A,126,WEEK,0,0,0,DAY
CUS-19,WIDGET-A,91,WEEK,0,0,0,DAY
CUS-20,WIDGET-A,119,WEEK,0,0,0,DAY
CUS-21,WIDGET-A,38,DAY,0,0,0,DAY
CUS-22,WIDGET-A,29,DAY,0,0,0,DAY
CUS-23,WIDGET-A,22,DAY,0,0,0,DAY
CUS-24,WIDGET-A,19,DAY,0,0,0,DAY
CUS-25,WIDGET-A,14,DAY,0,0,0,DAY
CUS-26,WIDGET-A,17,DAY,0,0,0,DAY
CUS-27,WIDGET-A,105,WEEK,0,0,0,DAY
CUS-28,WIDGET-A,84,WEEK,0,0,0,DAY
CUS-29,WIDGET-A,133,WEEK,0,0,0,DAY
CUS-30,WIDGET-A,77,WEEK,0,0,0,DAY
CUS-31,WIDGET-A,98,WEEK,0,0,0,DAY
CUS-32,WIDGET-A,49,WEEK,0,0,0,DAY
CUS-01,WIDGET-B,42,WEEK,0,0,0,DAY
CUS-02,WIDGET-B,35,WEEK,0,0,0,DAY
CUS-03,WIDGET-B,28,WEEK,0,0,0,DAY
CUS-04,WIDGET-B,14,WEEK,0,0,0,DAY
CUS-05,WIDGET-B,14,WEEK,0,0,0,DAY
CUS-06,WIDGET-B,21,WEEK,0,0,0,DAY
CUS-07,WIDGET-B,7,WEEK,0,0,0,DAY
CUS-08,WIDGET-B,9,DAY,0,0,0,DAY
DCR-01,WIDGET-A,0,DAY,900,450,0.12,DAY
DCR-02,WIDGET-A,0,DAY,950,480,0.12,DAY
DCR-03,WIDGET-A,0,DAY,800,400,0.13,DAY
DCR-04,WIDGET-A,0,DAY,850,420,0.13,DAY
DCR-05,WIDGET-A,0,DAY,700,350,0.14,DAY
DCC-01,WIDGET-A,0,DAY,2200,1100,0.10,DAY
DCC-02,WIDGET-A,0,DAY,1900,950,0.10,DAY
DCC-03,WIDGET-A,0,DAY,1600,800,0.11,DAY
DCC-01,WIDGET-B,0,DAY,400,200,0.28,DAY
DCR-01,WIDGET-B,0,DAY,180,90,0.30,DAY
DCR-02,WIDGET-B,0,DAY,190,95,0.30,DAY
PLT-01,WIDGET-A,0,DAY,1500,600,0.08,DAY
PLT-02,WIDGET-A,0,DAY,1300,520,0.08,DAY
PLT-03,WIDGET-A,0,DAY,1100,440,0.09,DAY
PLT-04,WIDGET-A,0,DAY,900,360,0.09,DAY
PLT-01,WIDGET-B,0,DAY,320,160,0.22,DAY
SUP-01,WIDGET-A,0,DAY,4000,0,0.05,DAY
SUP-02,WIDGET-A,0,DAY,3500,0,0.05,DAY
SUP-03,WIDGET-A,0,DAY,3000,0,0.06,DAY
SUP-04,WIDGET-A,0,DAY,2500,0,0.06,DAY
SUP-05,WIDGET-A,0,DAY,2000,0,0.07,DAY
SUP-06,WIDGET-A,0,DAY,1800,0,0.07,DAY
SUP-01,WIDGET-B,0,DAY,600,0,0.15,DAY
