name,type,capacity_value,capacity_time_unit,processing_time_value,processing_time_unit,fixed_cost,var_cost,failure_prob,region,lat,lng
SUP-01,SUPPLIER,6000,WEEK,0,DAY,2000,1.80,0.02,EU-West,52.37,4.90
SUP-02,SUPPLIER,5000,WEEK,0,DAY,1800,1.95,0.03,EU-West,50.85,4.35
SUP-03,SUPPLIER,4200,WEEK,0,DAY,1500,2.10,0.04,EU-East,52.23,21.01
SUP-04,SUPPLIER,3500,WEEK,0,DAY,1200,2.40,0.05,APAC,31.23,121.47
SUP-05,SUPPLIER,3000,WEEK,0,DAY,1100,2.55,0.06,APAC,22.32,114.17
SUP-06,SUPPLIER,2400,WEEK,0,DAY,900,2.80,0.07,AMER,41.88,-87.63
PLT-01,PLANT,1200,DAY,2,DAY,12000,6.50,0.01,EU-West,51.22,6.78
PLT-02,PLANT,1000,DAY,2,DAY,10500,6.80,0.01,EU-West,48.86,2.35
PLT-03,PLANT,900,DAY,3,DAY,9800,7.10,0.02,EU-East,50.08,14.44
PLT-04,PLANT,700,DAY,3,DAY,8200,7.60,0.02,AMER,32.78,-96.80
DCC-01,DC,1500,DAY,1,DAY,4000,1.20,0.01,EU-West,51.92,4.48
DCC-02,DC,1300,DAY,1,DAY,3600,1.25,0.01,EU-Central,50.11,8.68
DCC-03,DC,1100,DAY,1,DAY,3200,1.35,0.02,EU-East,47.50,19.04
DCR-01,DC,600,DAY,0,DAY,1400,0.85,0.01,EU-North,59.33,18.07
DCR-02,DC,650,DAY,0,DAY,1450,0.85,0.01,EU-West,53.35,-6.26
DCR-03,DC,550,DAY,0,DAY,1300,0.90,0.02,EU-Central,52.52,13.40
DCR-04,DC,600,DAY,0,DAY,1350,0.90,0.02,EU-South,41.90,12.50
DCR-05,DC,500,DAY,0,DAY,1250,0.95,0.03,EU-East,44.43,26.10
CUS-01,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,60.17,24.94
CUS-02,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,59.91,10.75
CUS-03,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,55.68,12.57
CUS-04,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,63.83,20.26
CUS-05,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,58.38,26.72
CUS-06,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,56.95,24.11
CUS-07,CUSTOMER,,DAY,0,DAY,0,0,0,EU-North,54.69,25.28
CUS-08,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,51.51,-0.13
CUS-09,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,53.48,-2.24
CUS-10,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,55.95,-3.19
CUS-11,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,53.34,-6.27
CUS-12,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,51.45,-2.59
CUS-13,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,52.48,-1.90
CUS-14,CUSTOMER,,DAY,0,DAY,0,0,0,EU-West,50.72,-1.88
CUS-15,CUSTOMER,,DAY,0,DAY,0,0,0,EU-Central,52.52,13.40
CUS-16,CUSTOMER,,DAY,0,DAY,0,0,0,EU-Central,48.14,11.58
CUS-17,CUSTOMER,,DAY,0,DAY,0,0,0,EU-Central,50.94,6.96
CUS-18,CUSTOMER,,DAY,0,DAY,0,0,0,EU-Central,48.21,16.37
CUS-19,CUSTOMER,,DAY,0,DAY,0,0,0,EU-Central,47.37,8.54
CUS-20,CUSTOMER,,DAY,0,DAY,0,0,0,EU-Central,53.55,9.99
CUS-21,CUSTOMER,,DAY,0,DAY,0,0,0,EU-South,41.90,12.50
CUS-22,CUSTOMER,,DAY,0,DAY,0,0,0,EU-South,45.46,9.19
CUS-23,CUSTOMER,,DAY,0,DAY,0,0,0,EU-South,40.42,-3.70
CUS-24,CUSTOMER,,DAY,0,DAY,0,0,0,EU-South,41.39,2.17
CUS-25,CUSTOMER,,DAY,0,DAY,0,0,0,EU-South,38.72,-9.14
CUS-26,CUSTOMER,,DAY,0,DAY,0,0,0,EU-South,37.98,23.73
CUS-27,CUSTOMER,,DAY,0,DAY,0,0,0,EU-East,44.43,26.10
CUS-28,CUSTOMER,,DAY,0,DAY,0,0,0,EU-East,42.70,23.32
CUS-29,CUSTOMER,,DAY,0,DAY,0,0,0,EU-East,50.45,30.52
CUS-30,CUSTOMER,,DAY,0,DAY,0,0,0,EU-East,45.81,15.98
CUS-31,CUSTOMER,,DAY,0,DAY,0,0,0,EU-East,44.79,20.45
CUS-32,CUSTOMER,,DAY,0,DAY,0,0,0,EU-East,46.05,14.51
